year_idx,plot_id,plot_name,region_group,lai_total,cc_total,biomass_ag_t_ha,adult_density_ha,sapling_density_ha,sw_top_mean,sw_sub_mean,al_floor_mean,di_annual_mean,GDD_deciduous,GDD_evergreen,T_winter,trees_died,saplings_died,mortality_rate_pct,tree_age_max,tree_age_mean,sapling_age_max,sapling_age_mean,herb_biomass_kg,herb_lai_mean,saplings_established,trees_recruited,trees_stressed,saplings_stressed,f_env_tree_mean,f_env_sapling_mean
28,1,"SW2","LL",10.921,1.000,268.228,5422.222,500.000,0.000,220.563,0.020,0.097,1131.735,1187.409,-2.820,3,12,0.611,28,24.113,14,6.911,86.293,0.560,6,2,29,10,0.339,0.197
28,2,"SW3","LL",7.293,1.000,133.808,3377.778,2833.333,0.000,195.393,0.146,0.139,1200.685,1242.915,-3.057,2,7,0.654,28,22.339,17,5.863,76.797,0.498,24,5,11,64,0.324,0.243
29,0,"SW1","LL",12.143,1.000,400.317,7911.111,44.444,124.963,320.000,0.007,0.000,1054.777,1099.414,-2.993,10,6,1.385,29,25.657,10,5.500,88.983,0.577,0,0,70,4,0.340,0.023
29,1,"SW2","LL",11.340,1.000,299.560,5344.444,500.000,0.000,236.038,0.016,0.082,1169.031,1195.578,-2.887,7,3,1.434,29,25.173,15,7.489,86.190,0.559,3,0,36,16,0.301,0.139
29,2,"SW3","LL",7.964,1.000,151.262,3455.556,2655.556,0.000,185.770,0.119,0.134,1171.266,1231.685,-2.324,1,26,0.321,29,23.129,18,6.021,74.795,0.485,18,8,12,68,0.336,0.215
30,0,"SW1","LL",12.718,1.000,457.264,7822.222,11.111,127.750,320.000,0.006,0.000,1103.392,1155.559,-3.293,8,4,1.124,30,26.679,1,1.000,88.983,0.577,1,0,67,0,0.368,0.511
30,1,"SW2","LL",12.015,1.000,345.359,5311.111,422.222,0.000,269.537,0.013,0.035,1166.770,1216.700,-2.220,3,8,0.624,30,26.192,16,8.026,86.152,0.559,1,0,32,13,0.393,0.136
30,2,"SW3","LL",8.259,1.000,169.337,3477.778,2277.778,0.000,190.924,0.095,0.143,1142.167,1184.916,-3.157,0,43,0.000,30,24.070,19,6.346,72.046,0.467,11,2,18,58,0.298,0.208
31,0,"SW1","LL",12.009,1.000,510.287,7711.111,11.111,133.130,320.000,0.006,0.000,1019.085,1037.563,-3.393,10,0,1.420,31,27.732,2,2.000,88.983,0.577,0,0,78,1,0.306,0.018
31,1,"SW2","LL",12.023,1.000,396.720,5255.556,344.444,2.593,290.699,0.010,0.008,1152.991,1187.700,-3.387,6,8,1.253,31,27.220,17,8.323,86.140,0.559,2,1,39,17,0.378,0.124
